매장명,세팅된_키워드,수집된_리뷰수,키워드_적중률,네이버_월간_총검색량,상세_분석내역
달빛에구운고등어 수원월드컵점,"수원생선구이, 화덕생선구이, 달빛고, 고등어구이, 생선구이",42건,9.5%,"103,510회","[수원생선구이: 리뷰 0회 | 검색량 1,470회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [달빛고: 리뷰 1회 | 검색량 1,300회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [생선구이: 리뷰 3회 | 검색량 67,630회]"
달빛에구운고등어 동탄예당마을점,"화덕생선구이, 프리미엄생선구이, 생선구이, 달빛고, 동탄생선구이",48건,8.3%,"80,825회","[화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [프리미엄생선구이: 리뷰 0회 | 검색량 35회] | [생선구이: 리뷰 2회 | 검색량 67,630회] | [달빛고: 리뷰 0회 | 검색량 1,300회] | [동탄생선구이: 리뷰 2회 | 검색량 2,240회]"
달빛에구운고등어 수완장덕점,"생선구이, 고등어구이, 갈치구이, 가족식사부모님식사외식가성비, 점심내돈내산밥집주차찐맛",44건,6.8%,"98,290회","[생선구이: 리뷰 3회 | 검색량 67,630회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [갈치구이: 리뷰 0회 | 검색량 7,150회] | [가족식사부모님식사외식가성비: 리뷰 0회 | 검색량 10회] | [점심내돈내산밥집주차찐맛: 리뷰 0회 | 검색량 10회]"
달빛에구운고등어 세종대평점,"달빛고, 화덕생선구이, 가족식사, 세종생선구이, 생선구이",44건,6.8%,"81,240회","[달빛고: 리뷰 1회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [가족식사: 리뷰 0회 | 검색량 1,250회] | [세종생선구이: 리뷰 0회 | 검색량 1,440회] | [생선구이: 리뷰 2회 | 검색량 67,630회]"
달빛에구운고등어 부산 명지국제신도시점,"화덕생선구이, 달빛고, 고등어구이, 무한리필, 외식",198건,6.6%,"73,820회","[화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [달빛고: 리뷰 4회 | 검색량 1,300회] | [고등어구이: 리뷰 6회 | 검색량 23,490회] | [무한리필: 리뷰 1회 | 검색량 33,230회] | [외식: 리뷰 2회 | 검색량 6,180회]"
달빛에구운고등어 부산화명점,"달빛고, 가족외식, 무한리필, 화덕생선구이, 고등어구이",205건,5.9%,"69,280회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [가족외식: 리뷰 1회 | 검색량 1,640회] | [무한리필: 리뷰 3회 | 검색량 33,230회] | [화덕생선구이: 리뷰 1회 | 검색량 9,620회] | [고등어구이: 리뷰 7회 | 검색량 23,490회]"
달빛에구운고등어 풍암점,"생선구이, 무한리필, 가족외식단체모임회식, 고등어구이갈침삼치고등어조림, 점심가성미내돈내산찐맛밥집",41건,4.9%,"100,890회","[생선구이: 리뷰 2회 | 검색량 67,630회] | [무한리필: 리뷰 0회 | 검색량 33,230회] | [가족외식단체모임회식: 리뷰 0회 | 검색량 10회] | [고등어구이갈침삼치고등어조림: 리뷰 0회 | 검색량 10회] | [점심가성미내돈내산찐맛밥집: 리뷰 0회 | 검색량 10회]"
달빛에구운고등어 김제점,"고등어구이, 모듬구이, 삼치구이, 생선구이",42건,4.8%,"98,230회","[고등어구이: 리뷰 0회 | 검색량 23,490회] | [모듬구이: 리뷰 0회 | 검색량 130회] | [삼치구이: 리뷰 0회 | 검색량 6,980회] | [생선구이: 리뷰 2회 | 검색량 67,630회]"
달빛에구운고등어 화성향남점,"고등어구이, 향남생선구이, 향남가족외식, 화덕생선구이, 달빛고",43건,4.7%,"35,015회","[고등어구이: 리뷰 2회 | 검색량 23,490회] | [향남생선구이: 리뷰 0회 | 검색량 580회] | [향남가족외식: 리뷰 0회 | 검색량 25회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [달빛고: 리뷰 0회 | 검색량 1,300회]"
달빛에구운고등어 상무점,"고등어구이, 생선구이, 갈치구이, 근처, 동네",43건,4.7%,"115,530회","[고등어구이: 리뷰 0회 | 검색량 23,490회] | [생선구이: 리뷰 2회 | 검색량 67,630회] | [갈치구이: 리뷰 0회 | 검색량 7,150회] | [근처: 리뷰 0회 | 검색량 9,500회] | [동네: 리뷰 0회 | 검색량 7,760회]"
달빛에구운고등어 천안구성점,"달빛고, 천안생선구이, 생선구이, 가족외식, 무한리필",43건,4.7%,"105,660회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [천안생선구이: 리뷰 0회 | 검색량 1,860회] | [생선구이: 리뷰 0회 | 검색량 67,630회] | [가족외식: 리뷰 0회 | 검색량 1,640회] | [무한리필: 리뷰 2회 | 검색량 33,230회]"
달빛에구운고등어 대전관평점,"생선구이, 화덕생선구이, 달빛고, 대전생선구이",45건,4.4%,"80,610회","[생선구이: 리뷰 2회 | 검색량 67,630회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [달빛고: 리뷰 0회 | 검색량 1,300회] | [대전생선구이: 리뷰 0회 | 검색량 2,060회]"
달빛에구운고등어 아산온천점,"고등어구이, 생선구이, 아산모임, 가족모임, 가정식백반",49건,36.7%,"95,075회","[고등어구이: 리뷰 8회 | 검색량 23,490회] | [생선구이: 리뷰 10회 | 검색량 67,630회] | [아산모임: 리뷰 0회 | 검색량 25회] | [가족모임: 리뷰 0회 | 검색량 830회] | [가정식백반: 리뷰 0회 | 검색량 3,100회]"
달빛에구운고등어 관저점,"생선구이, 고등어, 화덕, 한식, 생선",31건,32.3%,"181,690회","[생선구이: 리뷰 1회 | 검색량 67,630회] | [고등어: 리뷰 5회 | 검색량 34,570회] | [화덕: 리뷰 0회 | 검색량 4,960회] | [한식: 리뷰 0회 | 검색량 65,750회] | [생선: 리뷰 4회 | 검색량 8,780회]"
달빛에구운고등어 파주운정점,"달빛고, 화덕생선구이, 점심식사, 무한리필, 고등어구이",55건,3.6%,"69,770회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [점심식사: 리뷰 0회 | 검색량 2,130회] | [무한리필: 리뷰 2회 | 검색량 33,230회] | [고등어구이: 리뷰 0회 | 검색량 23,490회]"
달빛에구운고등어 파주심학산점,"달빛고, 화덕생선구이, 가족외식, 무한리필, 고등어구이",208건,3.4%,"69,280회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [가족외식: 리뷰 1회 | 검색량 1,640회] | [무한리필: 리뷰 2회 | 검색량 33,230회] | [고등어구이: 리뷰 4회 | 검색량 23,490회]"
달빛에구운고등어 남양주별내점,"달빛고, 고등어구이, 화덕생선구이, 무한리필, 외식",63건,3.2%,"73,820회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [고등어구이: 리뷰 1회 | 검색량 23,490회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [무한리필: 리뷰 1회 | 검색량 33,230회] | [외식: 리뷰 0회 | 검색량 6,180회]"
달빛에구운고등어 도마점,"고등어구이, 생선구이, 갈치구이, 삼치구이, 보리굴비",31건,3.2%,"129,900회","[고등어구이: 리뷰 0회 | 검색량 23,490회] | [생선구이: 리뷰 1회 | 검색량 67,630회] | [갈치구이: 리뷰 0회 | 검색량 7,150회] | [삼치구이: 리뷰 0회 | 검색량 6,980회] | [보리굴비: 리뷰 0회 | 검색량 24,650회]"
달빛에구운고등어 부안점,"달빛고, 부안생선구이, 화덕생선구이, 부안군생선구이, 부안고등어",64건,3.1%,"11,155회","[달빛고: 리뷰 2회 | 검색량 1,300회] | [부안생선구이: 리뷰 0회 | 검색량 200회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [부안군생선구이: 리뷰 0회 | 검색량 10회] | [부안고등어: 리뷰 0회 | 검색량 25회]"
달빛에구운고등어 계양구청점,"한정식, 점심, 가족모임, 연말모임, 인천어린이과학관",46건,23.9%,"84,580회","[한정식: 리뷰 0회 | 검색량 39,220회] | [점심: 리뷰 9회 | 검색량 17,060회] | [가족모임: 리뷰 2회 | 검색량 830회] | [연말모임: 리뷰 0회 | 검색량 30회] | [인천어린이과학관: 리뷰 0회 | 검색량 27,440회]"
달빛에구운고등어 첨단점,"생선구이, 갈치구이, 고등어구이, 삼치구이, 달빛고",35건,2.9%,"106,550회","[생선구이: 리뷰 1회 | 검색량 67,630회] | [갈치구이: 리뷰 0회 | 검색량 7,150회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [삼치구이: 리뷰 0회 | 검색량 6,980회] | [달빛고: 리뷰 0회 | 검색량 1,300회]"
달빛에구운고등어 천안신방점,"화덕생선구이, 점심식사, 달빛고, 고등어구이, 무한리필",36건,2.8%,"69,770회","[화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [점심식사: 리뷰 0회 | 검색량 2,130회] | [달빛고: 리뷰 0회 | 검색량 1,300회] | [고등어구이: 리뷰 1회 | 검색량 23,490회] | [무한리필: 리뷰 0회 | 검색량 33,230회]"
달빛에구운고등어 논산점,"논산훈련소, 딸기축제, 날씨, 탑정호, 선샤인랜드",36건,2.8%,"31,561,940회","[논산훈련소: 리뷰 0회 | 검색량 50,210회] | [딸기축제: 리뷰 0회 | 검색량 32,530회] | [날씨: 리뷰 0회 | 검색량 31,469,200회] | [탑정호: 리뷰 1회 | 검색량 5,120회] | [선샤인랜드: 리뷰 0회 | 검색량 4,880회]"
달빛에구운고등어 남원점,"달빛고, 화덕생선구이, 남원생선구이, 가족식사, 남원외식",36건,2.8%,"12,425회","[달빛고: 리뷰 1회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [남원생선구이: 리뷰 0회 | 검색량 240회] | [가족식사: 리뷰 0회 | 검색량 1,250회] | [남원외식: 리뷰 0회 | 검색량 15회]"
달빛에구운고등어 모현점,"점심, 부모님식사가족식사, 익산생선구이, 익산역, 모현동저녁",37건,2.7%,"46,385회","[점심: 리뷰 1회 | 검색량 17,060회] | [부모님식사가족식사: 리뷰 0회 | 검색량 10회] | [익산생선구이: 리뷰 0회 | 검색량 810회] | [익산역: 리뷰 0회 | 검색량 28,470회] | [모현동저녁: 리뷰 0회 | 검색량 35회]"
달빛에구운고등어 부산동래점,"달빛고, 화덕생선구이, 고등어구이, 가족외식, 무한리필",39건,2.6%,"69,280회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [고등어구이: 리뷰 1회 | 검색량 23,490회] | [가족외식: 리뷰 0회 | 검색량 1,640회] | [무한리필: 리뷰 0회 | 검색량 33,230회]"
달빛에구운고등어 나주혁신점,"달빛고, 화덕생선구이, 고등어구이, 무한리필, 외식",40건,2.5%,"73,820회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [무한리필: 리뷰 1회 | 검색량 33,230회] | [외식: 리뷰 0회 | 검색량 6,180회]"
달빛에구운고등어 당진시청점,"달빛고, 화덕생선구이, 고등어구이, 갈치구이, 계란말이",40건,2.5%,"59,710회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [고등어구이: 리뷰 1회 | 검색량 23,490회] | [갈치구이: 리뷰 0회 | 검색량 7,150회] | [계란말이: 리뷰 0회 | 검색량 18,150회]"
달빛에구운고등어 세종장군점,"달빛고, 화덕생선구이, 고등어구이, 가족외식, 무한리필",43건,2.3%,"69,280회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [가족외식: 리뷰 1회 | 검색량 1,640회] | [무한리필: 리뷰 0회 | 검색량 33,230회]"
달빛에구운고등어 일곡삼각점,"달빛고, 화덕생선구이, 가족외식, 무한리필, 고등어구이",94건,2.1%,"69,280회","[달빛고: 리뷰 1회 | 검색량 1,300회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [가족외식: 리뷰 0회 | 검색량 1,640회] | [무한리필: 리뷰 0회 | 검색량 33,230회] | [고등어구이: 리뷰 1회 | 검색량 23,490회]"
달빛에구운고등어 부천약대오거리점,"화덕생선구이, 고등어구이, 가족식사, 달빛고, 무한리필",48건,2.1%,"68,890회","[화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [가족식사: 리뷰 0회 | 검색량 1,250회] | [달빛고: 리뷰 1회 | 검색량 1,300회] | [무한리필: 리뷰 0회 | 검색량 33,230회]"
달빛에구운고등어 김포양촌구래점,"달빛고, 고등어구이, 화덕생선구이, 가족외식, 무한리필",50건,2.0%,"69,280회","[달빛고: 리뷰 0회 | 검색량 1,300회] | [고등어구이: 리뷰 0회 | 검색량 23,490회] | [화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [가족외식: 리뷰 0회 | 검색량 1,640회] | [무한리필: 리뷰 1회 | 검색량 33,230회]"
달빛에구운고등어 광양점,"화덕생선구이, 무한리필, 한정식, 고등어구이, 달빛고",50건,2.0%,"106,860회","[화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [무한리필: 리뷰 0회 | 검색량 33,230회] | [한정식: 리뷰 0회 | 검색량 39,220회] | [고등어구이: 리뷰 1회 | 검색량 23,490회] | [달빛고: 리뷰 0회 | 검색량 1,300회]"
달빛에구운고등어 용인유림점,"화덕생선구이, 고등어구이, 가족, 반찬, 단체",41건,19.5%,"110,500회","[화덕생선구이: 리뷰 0회 | 검색량 9,620회] | [고등어구이: 리뷰 1회 | 검색량 23,490회] | [가족: 리뷰 0회 | 검색량 14,800회] | [반찬: 리뷰 6회 | 검색량 59,800회] | [단체: 리뷰 1회 | 검색량 2,790회]"
달빛에구운고등어 오산점,"오산, 생선구이, 점심, 밥집, 고등어",42건,19.0%,"269,800회","[오산: 리뷰 0회 | 검색량 27,270회] | [생선구이: 리뷰 1회 | 검색량 67,630회] | [점심: 리뷰 6회 | 검색량 17,060회] | [밥집: 리뷰 0회 | 검색량 123,270회] | [고등어: 리뷰 1회 | 검색량 34,570회]"
달빛에구운고등어 광주진월점,"가족외식, 점심, 생선구이, 고등어갈치삼치구이고추장불고기, 밥집내돈내산가성비찐맛주차",51건,17.6%,"86,350회","[가족외식: 리뷰 0회 | 검색량 1,640회] | [점심: 리뷰 9회 | 검색량 17,060회] | [생선구이: 리뷰 0회 | 검색량 67,630회] | [고등어갈치삼치구이고추장불고기: 리뷰 0회 | 검색량 10회] | [밥집내돈내산가성비찐맛주차: 리뷰 0회 | 검색량 10회]"
